1555045838.513000, Muse-5A55/notch_filtered_eeg, 820.5304, 846.9179, 847.05334, 838.46436
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 821.1722, 849.7802, 849.7802, 850.18317, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 825.5765, 852.85223, 846.5865, 817.8889
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 805.05493, 846.55676, 849.3773, 810.293, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 819.4527, 852.81134, 847.26013, 837.5381
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 810.293, 848.97437, 846.9597, 803.44324, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 803.2243, 847.10657, 847.486, 815.9893
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 818.3516, 845.7509, 848.1685, 814.3223, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 805.0306, 846.1567, 846.5563, 795.0931
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.514000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.514000, Muse-5A55/eeg, 806.6667, 840.9158, 845.34796, 796.5934, nan, nan
1555045838.514000, Muse-5A55/notch_filtered_eeg, 819.67535, 844.8, 848.84174, 814.30896
1555045838.514000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.514000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.514000, Muse-5A55/eeg, 809.4872, 845.34796, 842.9304, 806.26373, nan, nan
1555045838.514000, Muse-5A55/notch_filtered_eeg, 811.7491, 840.12225, 847.80725, 802.83765
1555045838.514000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.514000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.514000, Muse-5A55/eeg, 820.7692, 847.76556, 847.3626, 818.7546, nan, nan
1555045838.514000, Muse-5A55/notch_filtered_eeg, 803.85803, 843.83923, 844.02765, 794.5176
1555045838.514000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.514000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.514000, Muse-5A55/eeg, 805.8608, 843.73627, 851.39197, 802.6374, nan, nan
1555045838.514000, Muse-5A55/notch_filtered_eeg, 812.23157, 849.15765, 845.58356, 816.67255
1555045838.514000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.514000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.514000, Muse-5A55/eeg, 784.5055, 843.3333, 848.5714, 802.6374, nan, nan
1555045838.514000, Muse-5A55/gyro, -1.8243408, -7.1702576, 3.2598877
1555045838.515000, Muse-5A55/gyro, -1.3757324, -6.803894, 2.31781
1555045838.515000, Muse-5A55/gyro, -0.94207764, -6.4375305, 1.7570496
1555045838.515000, Muse-5A55/acc, -0.12322998, 0.084228516, 0.9800415
1555045838.515000, Muse-5A55/acc, -0.11651611, 0.08496094, 0.98254395
1555045838.515000, Muse-5A55/acc, -0.107421875, 0.08557129, 0.98516846
1555045838.515000, Muse-5A55/notch_filtered_eeg, 809.5068, 845.10803, 847.9207, 807.8904
1555045838.515000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.515000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.515000, Muse-5A55/eeg, 799.81683, 844.94507, 842.1245, 799.011, nan, nan
1555045838.515000, Muse-5A55/notch_filtered_eeg, 781.0347, 843.20447, 845.5932, 794.0693
1555045838.515000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.515000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.515000, Muse-5A55/eeg, 790.54944, 846.1539, 838.49817, 782.0879, nan, nan
1555045838.515000, Muse-5A55/notch_filtered_eeg, 788.9363, 846.3184, 843.03265, 794.84143
1555045838.515000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.515000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.515000, Muse-5A55/eeg, 773.6264, 848.5714, 839.304, 777.6557, nan, nan
1555045838.515000, Muse-5A55/notch_filtered_eeg, 798.13916, 846.7482, 842.7376, 788.56146
1555045838.515000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.515000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.515000, Muse-5A55/eeg, 794.57874, 850.18317, 842.52747, 792.1612, nan, nan
1555045838.515000, Muse-5A55/notch_filtered_eeg, 774.1054, 848.5912, 839.61115, 778.0562
1555045838.515000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.515000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.516000, Muse-5A55/eeg, 794.57874, 853.4066, 842.1245, 798.60803, nan, nan
1555045838.516000, Muse-5A55/notch_filtered_eeg, 789.6932, 850.4531, 836.1813, 791.605
1555045838.516000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.516000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.516000, Muse-5A55/eeg, 796.5934, 850.18317, 837.6923, 811.50183, nan, nan
1555045838.516000, Muse-5A55/notch_filtered_eeg, 797.1995, 855.17914, 840.1096, 790.39685
1555045838.516000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.516000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.516000, Muse-5A55/eeg, 790.14655, 850.989, 842.52747, 784.90845, nan, nan
1555045838.516000, Muse-5A55/notch_filtered_eeg, 789.23303, 850.86255, 841.3338, 800.19556
1555045838.516000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.516000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.517000, Muse-5A55/eeg, 774.43225, 849.3773, 843.3333, 764.7619, nan, nan
1555045838.517000, Muse-5A55/notch_filtered_eeg, 787.9188, 847.0039, 843.87463, 796.01544
1555045838.517000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.517000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.517000, Muse-5A55/eeg, 775.64105, 843.3333, 838.9011, 781.685, nan, nan
1555045838.517000, Muse-5A55/notch_filtered_eeg, 777.81366, 848.3064, 843.3617, 767.9131
1555045838.517000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.517000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.517000, Muse-5A55/eeg, 770.40295, 844.1392, 838.9011, 768.3883, nan, nan
1555045838.517000, Muse-5A55/notch_filtered_eeg, 770.9809, 844.5549, 836.61035, 773.47076
1555045838.517000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.517000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.517000, Muse-5A55/eeg, 761.9414, 845.34796, 836.08057, 765.56775, nan, nan
1555045838.517000, Muse-5A55/elements/blink, 0
1555045838.517000, Muse-5A55/elements/jaw_clench, 0
1555045838.518000, Muse-5A55/elements/touching_forehead, 1
1555045838.518000, Muse-5A55/elements/alpha_absolute, 0.68402994, 0.08441609, -0.045282703, 0.6071436
1555045838.518000, Muse-5A55/elements/beta_absolute, 0.60975266, -0.10539286, -0.41789803, 0.9333255
