1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 832.4542, 855.42126, 849.3773, 850.989, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 846.05023, 856.1763, 851.7464, 847.8534
1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 848.5714, 857.4359, 849.3773, 846.1539, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 838.7752, 855.62476, 850.84863, 857.89056
1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 865.09155, 857.4359, 852.1978, 849.3773, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 837.6533, 856.391, 848.96533, 851.9668
1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 848.5714, 857.03296, 852.6007, 852.6007, nan, nan
1555045806.104000, Muse-5A55/gyro, -1.2934875, 8.553467, 5.8094788
1555045806.104000, Muse-5A55/gyro, -1.3233948, 11.559143, 6.5496826
1555045806.104000, Muse-5A55/gyro, -1.8991089, 13.951721, 7.147827
1555045806.104000, Muse-5A55/acc, 0.2697754, 0.18426514, 0.9805908
1555045806.104000, Muse-5A55/acc, 0.24871826, 0.17980957, 0.9883423
1555045806.104000, Muse-5A55/acc, 0.22949219, 0.17773438, 0.98498535
1555045806.104000, Muse-5A55/notch_filtered_eeg, 857.76276, 855.36755, 850.64984, 853.33636
1555045806.105000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.105000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.105000, Muse-5A55/eeg, 838.49817, 855.42126, 851.79486, 861.06226, nan, nan
1555045806.105000, Muse-5A55/notch_filtered_eeg, 854.58813, 856.66736, 851.616, 850.1721
1555045806.105000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.105000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.106000, Muse-5A55/eeg, 842.1245, 855.42126, 850.58606, 851.79486, nan, nan
1555045806.106000, Muse-5A55/notch_filtered_eeg, 843.71643, 856.3901, 853.438, 844.04755
1555045806.106000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.106000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.106000, Muse-5A55/eeg, 842.1245, 852.6007, 854.61536, 824.3956, nan, nan
1555045806.106000, Muse-5A55/notch_filtered_eeg, 845.64124, 855.4516, 851.79785, 849.3009
1555045806.107000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.107000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.107000, Muse-5A55/eeg, 841.7216, 851.79486, 851.39197, 838.0952, nan, nan
1555045806.107000, Muse-5A55/notch_filtered_eeg, 837.3888, 852.89185, 852.9837, 839.02325
1555045806.107000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.107000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.107000, Muse-5A55/eeg, 836.4835, 855.42126, 846.55676, 853.4066, nan, nan
1555045806.107000, Muse-5A55/notch_filtered_eeg, 831.72363, 849.3486, 851.8345, 847.50006
1555045806.107000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.107000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.107000, Muse-5A55/eeg, 840.9158, 850.989, 850.989, 860.2564, nan, nan
